Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-recq5-2-single-c4-w17-3d6_S84_	poor	9475	8356	3.10%	0.00%	2.60%	1	4.00%	50.00%	151	NA	0.00%	0.10%	0
blm-recq5-2-single-c4-w19-3d6_S85_	good	137531	124118	4.60%	0.30%	1.90%	19	6.70%	49.00%	148	NA	0.00%	0.20%	0
blm-recq5-2-single-c4-w21-3d6_S86_	good	99282	88776	3.70%	0.20%	1.80%	13	12.10%	48.00%	147	>=2	0.00%	0.30%	0
blm-recq5-2-single-c4-w23-3d6_S87_	poor	33584	29918	4.00%	0.10%	6.70%	4	13.00%	50.00%	148	>=2	0.00%	0.10%	0
blm-recq5-2-single-c4-w27-3d6_S89_	poor	171117	155102	4.30%	0.40%	22.60%	21	36.10%	48.00%	148	NA	0.00%	0.40%	0
blm-recq5-2-single-c4-w29-3d6_S90_	poor	18021	15984	3.50%	0.00%	19.80%	2	40.70%	51.00%	148	>=2	0.00%	0.00%	0
blm-recq5-2-single-c4-w31-3d6_S91_	poor	10718	9214	5.00%	0.00%	7.20%	1	8.30%	55.00%	154	NA	0.00%	0.10%	0
blm-recq5-2-single-c4-w33-3d6_S92_	shallow	38171	34186	4.20%	0.10%	3.30%	5	7.70%	48.00%	150	>=2	0.00%	0.10%	0
blm-recq5-2-single-c4-w3-3d6_S77_	poor	126669	112848	4.60%	0.30%	21.20%	14	17.90%	56.00%	130	NA	0.00%	0.40%	0
blm-recq5-2-single-c4-w35-3d6_S93_	poor	73975	66400	4.90%	0.20%	33.10%	8	14.30%	50.00%	148	>=2	0.00%	0.30%	0
blm-recq5-2-single-c4-w37-3d6_S94_	shallow	41633	37266	4.10%	0.10%	2.00%	5	4.20%	49.00%	148	NA	0.00%	0.10%	0
blm-recq5-2-single-c4-w39-3d6_S95_	poor	30915	27710	4.30%	0.10%	5.10%	4	15.40%	49.00%	156	>=2	0.00%	0.10%	0
blm-recq5-2-single-c4-w41-3d6_S96_	poor	17002	15072	3.60%	0.00%	3.00%	2	32.00%	48.00%	147	>=2	0.00%	0.00%	0
blm-recq5-2-single-c4-w43-3d6_S97_	poor	48433	43694	4.20%	0.10%	35.80%	5	50.00%	49.00%	151	>=2	0.00%	0.10%	0
blm-recq5-2-single-c4-w45-3d6_S98_	shallow	82535	74076	4.00%	0.20%	2.10%	11	3.60%	49.00%	148	NA	0.00%	0.20%	0
blm-recq5-2-single-c4-w47-3d6_S99_	shallow	26220	23112	4.10%	0.10%	3.20%	3	8.30%	50.00%	148	>=2	0.00%	0.10%	0
blm-recq5-2-single-c4-w5-3d6_S78_	shallow	42746	38730	3.40%	0.10%	2.50%	6	21.40%	49.00%	151	>=2	0.00%	0.10%	0
blm-recq5-2-single-c4-w7-3d6_S79_	poor	352949	323346	5.60%	0.70%	14.40%	42	45.10%	48.00%	149	0.27	0.00%	0.60%	0
blm-recq5-2-single-c4-w9-3d6_S80_	poor	36107	32594	2.50%	0.10%	6.20%	5	0.00%	48.00%	147	>=2	0.00%	0.00%	0
blm-recq5-2-single-c8-w10-3d6_S257_	shallow	7761	6840	2.30%	0.00%	2.70%	1	4.30%	50.00%	151	>=2	0.00%	0.00%	0
blm-recq5-2-single-c8-w11-3d6_S258_	poor	12945	11478	2.20%	0.00%	2.70%	1	4.30%	52.00%	150	>=2	0.00%	0.00%	0
