Library	Reads	Sequencing_for_0.05x_cov	Background	Reads_per_Mb	Quality	Mode_insert_size	Mode_GC	Percent_WC	Naive_coverage	Duplication_rate	complexity	coverage	spikiness	entropy
fucci-wt-single-f12-r3-c3_S164_.trimmed.mdup.bam	17584	2	10.5	2	poor	164	40	7.7	0	2	884715.131411682	0.000431301967190834	0.677257329751197	7.71517066709913
fucci-wt-single-f12-r3-c4_S165_.trimmed.mdup.bam	512092	0.25	1.3	77	acceptable	155	41	14.3	1.2	7.8	6684494.67849498	0.0125571352409035	0.166042367139259	7.92267019633363
fucci-wt-single-f12-r3-c5_S166_.trimmed.mdup.bam	1441848	0.22	7.1	193	brdu	154	39	32.3	3	16.1	8361713.49510951	0.035356990195159	0.161731290832921	7.92228345095856
fucci-wt-single-f12-r3-c6_S167_.trimmed.mdup.bam	1328652	2	21	167	brdu	153	40	31.3	2.7	16.2	7628669.87270136	0.0325800712548616	0.210671506614555	7.90455751140388
fucci-wt-single-f12-r4-c1_S169_.trimmed.mdup.bam	485958	0.27	13.7	68	brdu	156	41	23.5	1.1	8.6	5741570.0271391	0.0119140983776912	0.235814856553204	7.87143059552668
fucci-wt-single-f12-r4-c2_S170_.trimmed.mdup.bam	455678	0.26	23.5	63	brdu	152	40	22.2	1	7.9	5924829.34804878	0.011173103954616	0.249366160393771	7.89486267708792
fucci-wt-single-f12-r4-c3_S171_.trimmed.mdup.bam	453860	2	1.5	70	acceptable	153	44	15.6	1	6.1	7833110.12996493	0.0111276616018749	0.178451512360983	7.91884576695847
fucci-wt-single-f12-r4-c4_S172_.trimmed.mdup.bam	1122020	0.26	1.3	154	good	161	39	18.2	2.3	17.1	5988067.23849316	0.0275174196837711	0.134053609318841	7.92393056431921
fucci-wt-single-f12-r4-c5_S173_.trimmed.mdup.bam	691174	2	12.3	93	brdu	162	39	26.7	1.4	14.3	4638207.51238555	0.0169484520551758	0.199967817256798	7.90669777812697
fucci-wt-single-f12-r4-c6_S174_.trimmed.mdup.bam	532576	0.29	1.2	82	brdu	163	40	16.7	1.2	9.9	5345152.51458455	0.0130600008428428	0.207925108894786	7.87515677173303
fucci-wt-single-f12-r5-c1_S176_.trimmed.mdup.bam	7136	2	3.1	1	poor	166	39	4.3	0	1.7	407569.92688722	0.000175020360749243	0.962199312714777	7.4414115885453
fucci-wt-single-f12-r5-c2_S177_.trimmed.mdup.bam	259020	0.3	1.9	40	poor	158	41	11.8	0.6	5.9	4620350.55495235	0.00635124935098272	0.214268651306848	7.90761719578274
fucci-wt-single-f12-r5-c4_S179_.trimmed.mdup.bam	1460376	0.23	11.4	181	brdu	153	40	35.6	2.9	17.7	7540537.53894632	0.0358101223915599	0.191102471795833	7.90597277661846
